Iload [A],"LDO_VDD (rxsf, temp=85) [V]","LDO_VDD (rxsf, temp=-40) [V]","LDO_VDD (rxfs, temp=85) [V]","LDO_VDD (rxfs, temp=-40) [V]","LDO_VDD (rcss, temp=85) [V]","LDO_VDD (rcss, temp=-40) [V]","LDO_VDD (rcff, temp=85) [V]","LDO_VDD (rcff, temp=-40) [V]","LDO_VDD (tttt, temp=27) [V]","LDO_VDD (nom,temp=27) [V]"
0,1.011052926901361,1.010205675444241,1.010979268926753,1.010020208656738,1.011400762412264,1.010553970177542,1.010808924621044,1.009783701740834,1.01078939,1.01078939
0.0002,1.007564209375411,1.007614102665745,1.007475577570513,1.007067521058794,1.009823717274278,1.009399495331182,1.005660052640529,1.005654689376308,1.008369110118631,1.008369110118631
0.0004,1.005504712565852,1.006002884050973,1.005354875008578,1.005241831370913,1.008737994538039,1.008568980500666,1.002719193887045,1.003199647209577,1.006842391821347,1.006842391821347
0.0006,1.003840405716922,1.004685966660328,1.003629313205329,1.003758303294205,1.007788934270202,1.007836228608072,1.000397203335705,1.001248405531975,1.005575640155269,1.005575640155269
0.0008,1.002379531889142,1.003524771269839,1.002109144253324,1.002456271959132,1.006909974363013,1.007155156,0.9983956108959021,0.9995640594755928,1.004444961672084,1.004444961672084
0.001,1.001040759724245,1.002458784302991,1.000713052625778,1.001265453837557,1.006072948,1.006505659674934,0.9965870434798768,0.9980430345994986,1.003396879835736,1.003396879835736
0.0012,0.9997861296975246,1.001459144079766,0.9994026113437363,1.000152154944403,1.005264630285894,1.005878117386433,0.9949118599553372,0.9966359022263698,1.002406071957978,1.002406071957978
0.0014,0.9985931979592451,1.000508597,0.9981549634383516,0.9990962029151675,1.004477195605522,1.005266773828668,0.9933347052549802,0.9953130981990562,1.001457456,1.001457456
0.0016,0.9974475695841587,0.9995959820977657,0.9969553661557251,0.9980845299875187,1.003705616675065,1.004667904126899,0.9918328582080854,0.9940554923635087,1.000541303595671,1.000541303595671
0.0018,0.9963394141489683,0.9987136309600584,0.9957936976325168,0.9971081434340253,1.002946451,1.004078946354548,0.9903907778940478,0.9928499348608381,0.9996509380207578,0.9996509380207578
0.002,0.9952616895080882,0.9978560243364069,0.9946626679645996,0.9961605629941946,1.002197223846001,1.003498055,0.9889973174883728,0.9916869606349322,0.9987815599563721,0.9987815599563721
0.0022,0.9942091582040203,0.9970190444408029,0.9935568245601233,0.9952369471182033,1.001456084714294,1.002923851,0.9876441786424045,0.9905595067318814,0.997929589,0.997929589
0.0024,0.9931678076598602,0.9961912635136323,0.9924620924004418,0.9943240014368444,1.000718486079628,1.002352616242997,0.9863089564699076,0.9894479016104163,0.9970853516498854,0.9970853516498854
0.0026,0.9921563316657581,0.9953882072379715,0.991396789,0.9934396610798253,0.9999901748128754,1.001789317776234,0.9850216751300576,0.9883789197942178,0.9962617971548489,0.9962617971548489
0.0028,0.9911595658955729,0.9945974874987027,0.9903456894489167,0.9925695402645529,0.9992662309754533,1.001229932986683,0.9837580743270901,0.987331233,0.9954484534132797,0.9954484534132797
0.003,0.9901760575704234,0.9938179866242656,0.9893071523517134,0.991712285,0.9985460789237117,1.000674070319624,0.9825158608444512,0.986302929,0.9946443163866416,0.9946443163866416
0.0032,0.9892041113451312,0.9930483693406418,0.9882793370686742,0.9908663130176337,0.9978290856513616,1.000121277453238,0.9812923430711846,0.9852917191904995,0.9938482158367115,0.9938482158367115
0.0034,0.9882423152448185,0.9922875281191985,0.9872606842794339,0.9900303090501661,0.9971147106547869,0.9995711768201484,0.9800852806368767,0.984295705,0.9930591758470618,0.9930591758470618
0.0036,0.987289463,0.9915345202203272,0.9862498390066172,0.98920315,0.9964024802671199,0.9990234453803836,0.9788927602871936,0.9833132713756569,0.9922763617345174,0.9922763617345174
0.0038,0.9863445129390097,0.9907885359826837,0.9852456077340133,0.9883838669009701,0.9956919730480739,0.9984778040171511,0.9777131319901372,0.9823430316203998,0.9914990524582518,0.9914990524582518
0.004,0.9854065580756177,0.9900488739218785,0.9842469246859196,0.9875716202428884,0.9949828082689071,0.9979340091680281,0.9765449590424153,0.9813837853527124,0.9907266190677722,0.9907266190677722
0.0042,0.9844748,0.9893149214736949,0.9832528250534598,0.9867656723690748,0.9942746367617937,0.9973918463971825,0.9753869793974616,0.9804344850655521,0.9899585079566228,0.9899585079566228
0.0044,0.9835485313711821,0.9885861398263022,0.9822624233606573,0.9859653720884453,0.9935671334854822,0.9968511252979033,0.9742380752438853,0.9794942101882326,0.9891942276853873,0.9891942276853873
0.0046,0.9826271187682457,0.9878620518582341,0.9812748955100964,0.9851701399433497,0.9928599913159915,0.9963116754389719,0.973097249,0.9785621463833921,0.9884333384847221,0.9884333384847221
0.0048,0.9817099921691772,0.9871422324357401,0.9802894635057723,0.9843794567619346,0.9921529157288563,0.9957733430816136,0.9719636028497195,0.9776375689043165,0.9876754437857711,0.9876754437857711
0.005,0.9807966341054353,0.9864263005447935,0.9793053820416804,0.983592854,0.9914456201049587,0.9952359885201857,0.9708363248324372,0.9767198290957199,0.986920183,0.986920183
0.0052,0.9798865716441567,0.985713913,0.9783219263127096,0.982809908,0.9907378214358311,0.9946994838723808,0.9697146738773377,0.9758083433153858,0.9861672274082468,0.9861672274082468
0.0054,0.9789793695881921,0.9850047582971294,0.9773383805505254,0.9820302288193233,0.9900292362653993,0.994163711,0.9685979699576834,0.9749025838033668,0.9854162723051405,0.9854162723051405
0.0056,0.9780746247978723,0.9842985538220772,0.9763540267728281,0.9812534613943664,0.9893195767056893,0.993628561,0.9674855848594491,0.9740020710791517,0.9846670361506161,0.9846670361506161
0.0058,0.9771719613871358,0.9835950404869277,0.9753681332989326,0.9804792761640837,0.9886085463938019,0.9930939316605475,0.9663769345137052,0.9731063675638605,0.9839192556523785,0.9839192556523785
0.006,0.9762710266359053,0.9828939804167648,0.9743799425640411,0.9797073672292737,0.9878958362291621,0.9925597262136641,0.9652714724837858,0.9722150722116719,0.9831726831766234,0.9831726831766234
0.0062,0.9753714874671886,0.9821951541210387,0.9733886577435851,0.9789374487600868,0.9871811197610948,0.992025854,0.9641686843226501,0.9713278159393394,0.9824270842619747,0.9824270842619747
0.0064,0.9744730273861623,0.9814983582147674,0.9723934275443972,0.9781692521596485,0.9864640480328857,0.9914922275770309,0.9630680826952873,0.9704442577340338,0.9816822354218637,0.9816822354218637
0.0066,0.9735753438126667,0.9808034034636479,0.9713933285125239,0.9774025235975611,0.985744244,0.990958764,0.9619692030433115,0.9695640813119626,0.9809379222165573,0.9809379222165573
0.0068,0.9726781457029758,0.9801101130954645,0.9703873439165356,0.9766370218284529,0.9850212943141958,0.9904253828724358,0.9608716,0.9686869922277329,0.9801939374933816,0.9801939374933816
0.007,0.9717811514190451,0.9794183213319647,0.9693743381052096,0.9758725162530254,0.9842947439982914,0.9898920055101849,0.9597748427332009,0.9678127153748398,0.9794500798098947,0.9794500798098947
0.0072,0.9708840867884517,0.978727872,0.9683530248407838,0.9751087851660324,0.9835640839869582,0.9893585553623266,0.958678514,0.9669409927989662,0.9787061519616199,0.9787061519616199
0.0074,0.9699866833281828,0.9780386179586605,0.9673219277156222,0.9743456141517491,0.9828287407187831,0.9888249569133301,0.9575822054481745,0.9660715817985382,0.9779619595906368,0.9779619595906368
0.0076,0.9690886765798994,0.9773504190116395,0.9662793300206812,0.9735827946061808,0.9820880613503747,0.9882911353143723,0.9564855147556319,0.9652042532331029,0.9772173098663971,0.9772173098663971
0.0078,0.9681898045224419,0.9766631421268723,0.9652232106806075,0.972820122,0.9813412957795687,0.9877570159062957,0.9553880439114526,0.9643387900514658,0.9764720101730222,0.9764720101730222
0.008,0.9672898060485747,0.9759766601153198,0.9641511615934237,0.972057396,0.9805875740708953,0.987222524,0.9542893959202398,0.9634749859668849,0.9757258668249083,0.9757258668249083
0.0082,0.966388419,0.9752908510420755,0.9630602801373963,0.9712944169382768,0.9798258779377942,0.9866875832088556,0.9531891722296915,0.9626126442881501,0.9749786837323601,0.9749786837323601
0.0084,0.9654853809378813,0.9746055976044147,0.9619470284535167,0.9705309855918141,0.9790550043471178,0.9861521173993171,0.9520869699493757,0.9617515768732714,0.9742302610371552,0.9742302610371552
0.0086,0.9645804230415946,0.9739207865688423,0.9608070480754042,0.9697669024697645,0.9782735186972823,0.9856160477912966,0.9509823789297988,0.9608916031845477,0.9734803936528271,0.9734803936528271
0.0088,0.9636732730622464,0.9732363082618749,0.9596349148442159,0.9690019656453466,0.9774796940753624,0.9850792936614031,0.949874979,0.9600325494409323,0.9727288696952262,0.9727288696952262
0.009,0.9627636513397179,0.9725520561046559,0.9584238141731413,0.9682359695322936,0.9766714318072768,0.9845417715590411,0.9487643346508838,0.9591742478418216,0.9719754687530014,0.9719754687530014
0.0092,0.9618512694145894,0.9718679261927083,0.9571651112652806,0.9674687033321453,0.9758461567377147,0.9840033947322018,0.9476499949938639,0.958316536,0.9712199599676843,0.9712199599676843
0.0094,0.9609358280191973,0.9711838168995419,0.9558477855672942,0.9666999493254661,0.9750006781542264,0.9834640724791247,0.9465314856600632,0.9574592556498968,0.9704620998565426,0.9704620998565426
0.0096,0.9600170148343334,0.9704996285239754,0.9544576956080829,0.9659294809613066,0.9741310039595743,0.9829237094513464,0.9454083057339979,0.9566022533475416,0.9697016298153337,0.9697016298153337
0.0098,0.9590945019550317,0.9698152629467934,0.9529766448056513,0.9651570606939331,0.9732320909393348,0.9823822048522397,0.9442799216198282,0.9557453786348254,0.9689382732236674,0.9689382732236674
0.01,0.958167943,0.9691306233225225,0.95138124,0.9643824374900629,0.972297508,0.9818394515420863,0.9431457602773995,0.9548884841741844,0.9681717320630314,0.9681717320630314
